100001Pedido de Compra em 12/12/2019 com 10 itens201912121855270000143,00E
20123600202Item do Pedido 00202 e valor: R$ 0,00             0000000,00
20123700202Item do Pedido 00202 e valor: R$ 0,00             0000000,00
100203Pedido de Compra em 26/11/2019 com 8 itens201911261855270000013,00E
20123800203Item do Pedido 00203 e valor: R$ 12,00            0000012,00
20123900203Item do Pedido 00203 e valor: R$ 1,00             0000001,00
20124000203Item do Pedido 00203 e valor: R$ 0,00             0000000,00
20124100203Item do Pedido 00203 e valor: R$ 0,00             0000000,00
20124200203Item do Pedido 00203 e valor: R$ 0,00             0000000,00
20124300203Item do Pedido 00203 e valor: R$ 0,00             0000000,00
20124400203Item do Pedido 00203 e valor: R$ 0,00             0000000,00
20124500203Item do Pedido 00203 e valor: R$ 0,00             0000000,00
20124600203Item do Pedido 00203 e valor: R$ 0,00             0000000,00
100204Pedido de Compra em 26/11/2019 com 8 itens201911261855270000092,00E
20124700204Item do Pedido 00204 e valor: R$ 87,00            0000087,00
20124800204Item do Pedido 00204 e valor: R$ 4,00             0000004,00
20124900204Item do Pedido 00204 e valor: R$ 1,00             0000001,00
20125000204Item do Pedido 00204 e valor: R$ 0,00             0000000,00
20125100204Item do Pedido 00204 e valor: R$ 0,00             0000000,00
20125200204Item do Pedido 00204 e valor: R$ 0,00             0000000,00
20125300204Item do Pedido 00204 e valor: R$ 0,00             0000000,00
20125400204Item do Pedido 00204 e valor: R$ 0,00             0000000,00
20125500204Item do Pedido 00204 e valor: R$ 0,00             0000000,00
100205Pedido de Compra em 26/11/2019 com 8 itens201911261855270000109,00E
20125600205Item do Pedido 00205 e valor: R$ 77,00            0000077,00
20125700205Item do Pedido 00205 e valor: R$ 17,00            0000017,00
20125800205Item do Pedido 00205 e valor: R$ 3,00             0000003,00
20125900205Item do Pedido 00205 e valor: R$ 7,00             0000007,00
20126000205Item do Pedido 00205 e valor: R$ 5,00             0000005,00
20126100205Item do Pedido 00205 e valor: R$ 0,00             0000000,00
20126200205Item do Pedido 00205 e valor: R$ 0,00             0000000,00
20126300205Item do Pedido 00205 e valor: R$ 0,00             0000000,00
20126400205Item do Pedido 00205 e valor: R$ 0,00             0000000,00
100206Pedido de Compra em 26/11/2019 com 8 itens201911261855270000011,00E
20126500206Item do Pedido 00206 e valor: R$ 4,00             0000004,00
20126600206Item do Pedido 00206 e valor: R$ 5,00             0000005,00
20126700206Item do Pedido 00206 e valor: R$ 2,00             0000002,00
20126800206Item do Pedido 00206 e valor: R$ 0,00             0000000,00
20126900206Item do Pedido 00206 e valor: R$ 0,00             0000000,00
20127000206Item do Pedido 00206 e valor: R$ 0,00             0000000,00
20127100206Item do Pedido 00206 e valor: R$ 0,00             0000000,00
20127200206Item do Pedido 00206 e valor: R$ 0,00             0000000,00
20127300206Item do Pedido 00206 e valor: R$ 0,00             0000000,00
100207Pedido de Compra em 26/11/2019 com 8 itens201911261855270000154,00E
20127400207Item do Pedido 00207 e valor: R$ 11,00            0000011,00
20127500207Item do Pedido 00207 e valor: R$ 139,00           0000139,00
20127600207Item do Pedido 00207 e valor: R$ 4,00             0000004,00
20127700207Item do Pedido 00207 e valor: R$ 0,00             0000000,00
20127800207Item do Pedido 00207 e valor: R$ 0,00             0000000,00
20127900207Item do Pedido 00207 e valor: R$ 0,00             0000000,00
20128000207Item do Pedido 00207 e valor: R$ 0,00             0000000,00
20128100207Item do Pedido 00207 e valor: R$ 0,00             0000000,00
20128200207Item do Pedido 00207 e valor: R$ 0,00             0000000,00
100208Pedido de Compra em 26/11/2019 com 8 itens201911261855270000025,00E
20128300208Item do Pedido 00208 e valor: R$ 7,00             0000007,00
20128400208Item do Pedido 00208 e valor: R$ 9,00             0000009,00
20128500208Item do Pedido 00208 e valor: R$ 4,00             0000004,00
20128600208Item do Pedido 00208 e valor: R$ 4,00             0000004,00
20128700208Item do Pedido 00208 e valor: R$ 1,00             0000001,00
20128800208Item do Pedido 00208 e valor: R$ 0,00             0000000,00
20128900208Item do Pedido 00208 e valor: R$ 0,00             0000000,00
20129000208Item do Pedido 00208 e valor: R$ 0,00             0000000,00
20129100208Item do Pedido 00208 e valor: R$ 0,00             0000000,00
100209Pedido de Compra em 26/11/2019 com 8 itens201911261855270000106,00E
20129200209Item do Pedido 00209 e valor: R$ 104,00           0000104,00
20129300209Item do Pedido 00209 e valor: R$ 2,00             0000002,00
20129400209Item do Pedido 00209 e valor: R$ 0,00             0000000,00
20129500209Item do Pedido 00209 e valor: R$ 0,00             0000000,00
20129600209Item do Pedido 00209 e valor: R$ 0,00             0000000,00
20129700209Item do Pedido 00209 e valor: R$ 0,00             0000000,00
20129800209Item do Pedido 00209 e valor: R$ 0,00             0000000,00
20129900209Item do Pedido 00209 e valor: R$ 0,00             0000000,00
20130000209Item do Pedido 00209 e valor: R$ 0,00             0000000,00
100210Pedido de Compra em 26/11/2019 com 8 itens201911261855270000134,00E
20130100210Item do Pedido 00210 e valor: R$ 18,00            0000018,00
20130200210Item do Pedido 00210 e valor: R$ 9,00             0000009,00
20130300210Item do Pedido 00210 e valor: R$ 94,00            0000094,00
20130400210Item do Pedido 00210 e valor: R$ 3,00             0000003,00
20130500210Item do Pedido 00210 e valor: R$ 1,00             0000001,00
20130600210Item do Pedido 00210 e valor: R$ 4,00             0000004,00
20130700210Item do Pedido 00210 e valor: R$ 5,00             0000005,00
20130800210Item do Pedido 00210 e valor: R$ 0,00             0000000,00
20130900210Item do Pedido 00210 e valor: R$ 0,00             0000000,00
100211Pedido de Compra em 26/11/2019 com 8 itens201911261855270000043,00E
20131000211Item do Pedido 00211 e valor: R$ 3,00             0000003,00
20131100211Item do Pedido 00211 e valor: R$ 39,00            0000039,00
20131200211Item do Pedido 00211 e valor: R$ 1,00             0000001,00
20131300211Item do Pedido 00211 e valor: R$ 0,00             0000000,00
20131400211Item do Pedido 00211 e valor: R$ 0,00             0000000,00
20131500211Item do Pedido 00211 e valor: R$ 0,00             0000000,00
20131600211Item do Pedido 00211 e valor: R$ 0,00             0000000,00
20131700211Item do Pedido 00211 e valor: R$ 0,00             0000000,00
20131800211Item do Pedido 00211 e valor: R$ 0,00             0000000,00
100212Pedido de Compra em 25/11/2019 com 9 itens201911251855270000139,00E
20131900212Item do Pedido 00212 e valor: R$ 81,00            0000081,00
20132000212Item do Pedido 00212 e valor: R$ 40,00            0000040,00
20132100212Item do Pedido 00212 e valor: R$ 8,00             0000008,00
20132200212Item do Pedido 00212 e valor: R$ 4,00             0000004,00
20132300212Item do Pedido 00212 e valor: R$ 3,00             0000003,00
20132400212Item do Pedido 00212 e valor: R$ 1,00             0000001,00
20132500212Item do Pedido 00212 e valor: R$ 2,00             0000002,00
20132600212Item do Pedido 00212 e valor: R$ 0,00             0000000,00
20132700212Item do Pedido 00212 e valor: R$ 0,00             0000000,00
20132800212Item do Pedido 00212 e valor: R$ 0,00             0000000,00
100213Pedido de Compra em 25/11/2019 com 9 itens201911251855270000005,00E
20132900213Item do Pedido 00213 e valor: R$ 3,00             0000003,00
20133000213Item do Pedido 00213 e valor: R$ 2,00             0000002,00
20133100213Item do Pedido 00213 e valor: R$ 0,00             0000000,00
20133200213Item do Pedido 00213 e valor: R$ 0,00             0000000,00
20133300213Item do Pedido 00213 e valor: R$ 0,00             0000000,00
20133400213Item do Pedido 00213 e valor: R$ 0,00             0000000,00
20133500213Item do Pedido 00213 e valor: R$ 0,00             0000000,00
20133600213Item do Pedido 00213 e valor: R$ 0,00             0000000,00
20133700213Item do Pedido 00213 e valor: R$ 0,00             0000000,00
20133800213Item do Pedido 00213 e valor: R$ 0,00             0000000,00
100214Pedido de Compra em 25/11/2019 com 9 itens201911251855270000098,00E
20133900214Item do Pedido 00214 e valor: R$ 34,00            0000034,00
20134000214Item do Pedido 00214 e valor: R$ 47,00            0000047,00
20134100214Item do Pedido 00214 e valor: R$ 3,00             0000003,00
20134200214Item do Pedido 00214 e valor: R$ 10,00            0000010,00
20134300214Item do Pedido 00214 e valor: R$ 1,00             0000001,00
20134400214Item do Pedido 00214 e valor: R$ 3,00             0000003,00
20134500214Item do Pedido 00214 e valor: R$ 0,00             0000000,00
20134600214Item do Pedido 00214 e valor: R$ 0,00             0000000,00
20134700214Item do Pedido 00214 e valor: R$ 0,00             0000000,00
20134800214Item do Pedido 00214 e valor: R$ 0,00             0000000,00
100215Pedido de Compra em 25/11/2019 com 9 itens201911251855270000069,00E
20134900215Item do Pedido 00215 e valor: R$ 41,00            0000041,00
20135000215Item do Pedido 00215 e valor: R$ 22,00            0000022,00
20135100215Item do Pedido 00215 e valor: R$ 6,00             0000006,00
20135200215Item do Pedido 00215 e valor: R$ 0,00             0000000,00
20135300215Item do Pedido 00215 e valor: R$ 0,00             0000000,00
20135400215Item do Pedido 00215 e valor: R$ 0,00             0000000,00
20135500215Item do Pedido 00215 e valor: R$ 0,00             0000000,00
20135600215Item do Pedido 00215 e valor: R$ 0,00             0000000,00
20135700215Item do Pedido 00215 e valor: R$ 0,00             0000000,00
20135800215Item do Pedido 00215 e valor: R$ 0,00             0000000,00
100216Pedido de Compra em 25/11/2019 com 9 itens201911251855270000177,00E
20135900216Item do Pedido 00216 e valor: R$ 162,00           0000162,00
20136000216Item do Pedido 00216 e valor: R$ 15,00            0000015,00
20136100216Item do Pedido 00216 e valor: R$ 0,00             0000000,00
20136200216Item do Pedido 00216 e valor: R$ 0,00             0000000,00
20136300216Item do Pedido 00216 e valor: R$ 0,00             0000000,00
20136400216Item do Pedido 00216 e valor: R$ 0,00             0000000,00
20136500216Item do Pedido 00216 e valor: R$ 0,00             0000000,00
20136600216Item do Pedido 00216 e valor: R$ 0,00             0000000,00
20136700216Item do Pedido 00216 e valor: R$ 0,00             0000000,00
20136800216Item do Pedido 00216 e valor: R$ 0,00             0000000,00
100217Pedido de Compra em 25/11/2019 com 9 itens201911251855270000122,00E
20136900217Item do Pedido 00217 e valor: R$ 100,00           0000100,00
20137000217Item do Pedido 00217 e valor: R$ 1,00             0000001,00
20137100217Item do Pedido 00217 e valor: R$ 9,00             0000009,00
20137200217Item do Pedido 00217 e valor: R$ 11,00            0000011,00
20137300217Item do Pedido 00217 e valor: R$ 1,00             0000001,00
20137400217Item do Pedido 00217 e valor: R$ 0,00             0000000,00
20137500217Item do Pedido 00217 e valor: R$ 0,00             0000000,00
20137600217Item do Pedido 00217 e valor: R$ 0,00             0000000,00
20137700217Item do Pedido 00217 e valor: R$ 0,00             0000000,00
20137800217Item do Pedido 00217 e valor: R$ 0,00             0000000,00
100218Pedido de Compra em 25/11/2019 com 9 itens201911251855270000194,00E
20137900218Item do Pedido 00218 e valor: R$ 31,00            0000031,00
20138000218Item do Pedido 00218 e valor: R$ 47,00            0000047,00
20138100218Item do Pedido 00218 e valor: R$ 16,00            0000016,00
20138200218Item do Pedido 00218 e valor: R$ 29,00            0000029,00
20138300218Item do Pedido 00218 e valor: R$ 23,00            0000023,00
20138400218Item do Pedido 00218 e valor: R$ 44,00            0000044,00
20138500218Item do Pedido 00218 e valor: R$ 4,00             0000004,00
20138600218Item do Pedido 00218 e valor: R$ 0,00             0000000,00
20138700218Item do Pedido 00218 e valor: R$ 0,00             0000000,00
20138800218Item do Pedido 00218 e valor: R$ 0,00             0000000,00
100219Pedido de Compra em 25/11/2019 com 9 itens201911251855270000173,00E
20138900219Item do Pedido 00219 e valor: R$ 32,00            0000032,00
20139000219Item do Pedido 00219 e valor: R$ 77,00            0000077,00
20139100219Item do Pedido 00219 e valor: R$ 57,00            0000057,00
20139200219Item do Pedido 00219 e valor: R$ 6,00             0000006,00
20139300219Item do Pedido 00219 e valor: R$ 1,00             0000001,00
20139400219Item do Pedido 00219 e valor: R$ 0,00             0000000,00
20139500219Item do Pedido 00219 e valor: R$ 0,00             0000000,00
20139600219Item do Pedido 00219 e valor: R$ 0,00             0000000,00
20139700219Item do Pedido 00219 e valor: R$ 0,00             0000000,00
20139800219Item do Pedido 00219 e valor: R$ 0,00             0000000,00
100220Pedido de Compra em 25/11/2019 com 9 itens201911251855270000070,00E
20139900220Item do Pedido 00220 e valor: R$ 50,00            0000050,00
20140000220Item do Pedido 00220 e valor: R$ 14,00            0000014,00
20140100220Item do Pedido 00220 e valor: R$ 4,00             0000004,00
20140200220Item do Pedido 00220 e valor: R$ 1,00             0000001,00
20140300220Item do Pedido 00220 e valor: R$ 1,00             0000001,00
20140400220Item do Pedido 00220 e valor: R$ 0,00             0000000,00
20140500220Item do Pedido 00220 e valor: R$ 0,00             0000000,00
20140600220Item do Pedido 00220 e valor: R$ 0,00             0000000,00
20140700220Item do Pedido 00220 e valor: R$ 0,00             0000000,00
20140800220Item do Pedido 00220 e valor: R$ 0,00             0000000,00
100221Pedido de Compra em 25/11/2019 com 9 itens201911251855270000166,00E
20140900221Item do Pedido 00221 e valor: R$ 111,00           0000111,00
20141000221Item do Pedido 00221 e valor: R$ 31,00            0000031,00
20141100221Item do Pedido 00221 e valor: R$ 23,00            0000023,00
20141200221Item do Pedido 00221 e valor: R$ 1,00             0000001,00
20141300221Item do Pedido 00221 e valor: R$ 0,00             0000000,00
20141400221Item do Pedido 00221 e valor: R$ 0,00             0000000,00
20141500221Item do Pedido 00221 e valor: R$ 0,00             0000000,00
20141600221Item do Pedido 00221 e valor: R$ 0,00             0000000,00
20141700221Item do Pedido 00221 e valor: R$ 0,00             0000000,00
20141800221Item do Pedido 00221 e valor: R$ 0,00             0000000,00
100222Pedido de Compra em 25/11/2019 com 9 itens201911251855270000143,00E
20141900222Item do Pedido 00222 e valor: R$ 97,00            0000097,00
20142000222Item do Pedido 00222 e valor: R$ 28,00            0000028,00
20142100222Item do Pedido 00222 e valor: R$ 11,00            0000011,00
20142200222Item do Pedido 00222 e valor: R$ 5,00             0000005,00
20142300222Item do Pedido 00222 e valor: R$ 2,00             0000002,00
20142400222Item do Pedido 00222 e valor: R$ 0,00             0000000,00
20142500222Item do Pedido 00222 e valor: R$ 0,00             0000000,00
20142600222Item do Pedido 00222 e valor: R$ 0,00             0000000,00
20142700222Item do Pedido 00222 e valor: R$ 0,00             0000000,00
20142800222Item do Pedido 00222 e valor: R$ 0,00             0000000,00
100223Pedido de Compra em 25/11/2019 com 9 itens201911251855270000138,00E
20142900223Item do Pedido 00223 e valor: R$ 74,00            0000074,00
20143000223Item do Pedido 00223 e valor: R$ 19,00            0000019,00
20143100223Item do Pedido 00223 e valor: R$ 6,00             0000006,00
20143200223Item do Pedido 00223 e valor: R$ 8,00             0000008,00
20143300223Item do Pedido 00223 e valor: R$ 14,00            0000014,00
20143400223Item do Pedido 00223 e valor: R$ 13,00            0000013,00
20143500223Item do Pedido 00223 e valor: R$ 1,00             0000001,00
20143600223Item do Pedido 00223 e valor: R$ 1,00             0000001,00
20143700223Item do Pedido 00223 e valor: R$ 2,00             0000002,00
20143800223Item do Pedido 00223 e valor: R$ 0,00             0000000,00
100224Pedido de Compra em 25/11/2019 com 9 itens201911251855270000103,00E
20143900224Item do Pedido 00224 e valor: R$ 8,00             0000008,00
20144000224Item do Pedido 00224 e valor: R$ 57,00            0000057,00
20144100224Item do Pedido 00224 e valor: R$ 1,00             0000001,00
20144200224Item do Pedido 00224 e valor: R$ 23,00            0000023,00
20144300224Item do Pedido 00224 e valor: R$ 2,00             0000002,00
20144400224Item do Pedido 00224 e valor: R$ 7,00             0000007,00
20144500224Item do Pedido 00224 e valor: R$ 4,00             0000004,00
20144600224Item do Pedido 00224 e valor: R$ 1,00             0000001,00
20144700224Item do Pedido 00224 e valor: R$ 0,00             0000000,00
20144800224Item do Pedido 00224 e valor: R$ 0,00             0000000,00
100225Pedido de Compra em 25/11/2019 com 9 itens201911251855270000162,00E
20144900225Item do Pedido 00225 e valor: R$ 117,00           0000117,00
20145000225Item do Pedido 00225 e valor: R$ 34,00            0000034,00
20145100225Item do Pedido 00225 e valor: R$ 9,00             0000009,00
20145200225Item do Pedido 00225 e valor: R$ 1,00             0000001,00
20145300225Item do Pedido 00225 e valor: R$ 1,00             0000001,00
20145400225Item do Pedido 00225 e valor: R$ 0,00             0000000,00
20145500225Item do Pedido 00225 e valor: R$ 0,00             0000000,00
20145600225Item do Pedido 00225 e valor: R$ 0,00             0000000,00
20145700225Item do Pedido 00225 e valor: R$ 0,00             0000000,00
20145800225Item do Pedido 00225 e valor: R$ 0,00             0000000,00
100226Pedido de Compra em 25/11/2019 com 9 itens201911251855270000087,00E
20145900226Item do Pedido 00226 e valor: R$ 61,00            0000061,00
20146000226Item do Pedido 00226 e valor: R$ 19,00            0000019,00
20146100226Item do Pedido 00226 e valor: R$ 2,00             0000002,00
20146200226Item do Pedido 00226 e valor: R$ 5,00             0000005,00
20146300226Item do Pedido 00226 e valor: R$ 0,00             0000000,00
20146400226Item do Pedido 00226 e valor: R$ 0,00             0000000,00
20146500226Item do Pedido 00226 e valor: R$ 0,00             0000000,00
20146600226Item do Pedido 00226 e valor: R$ 0,00             0000000,00
20146700226Item do Pedido 00226 e valor: R$ 0,00             0000000,00
20146800226Item do Pedido 00226 e valor: R$ 0,00             0000000,00
100227Pedido de Compra em 24/11/2019 com 10 itens201911241855270000098,00E
20146900227Item do Pedido 00227 e valor: R$ 87,00            0000087,00
20147000227Item do Pedido 00227 e valor: R$ 2,00             0000002,00
20147100227Item do Pedido 00227 e valor: R$ 6,00             0000006,00
20147200227Item do Pedido 00227 e valor: R$ 1,00             0000001,00
20147300227Item do Pedido 00227 e valor: R$ 2,00             0000002,00
20147400227Item do Pedido 00227 e valor: R$ 0,00             0000000,00
20147500227Item do Pedido 00227 e valor: R$ 0,00             0000000,00
20147600227Item do Pedido 00227 e valor: R$ 0,00             0000000,00
20147700227Item do Pedido 00227 e valor: R$ 0,00             0000000,00
20147800227Item do Pedido 00227 e valor: R$ 0,00             0000000,00
20147900227Item do Pedido 00227 e valor: R$ 0,00             0000000,00
100228Pedido de Compra em 24/11/2019 com 10 itens201911241855270000089,00E
20148000228Item do Pedido 00228 e valor: R$ 27,00            0000027,00
20148100228Item do Pedido 00228 e valor: R$ 7,00             0000007,00
20148200228Item do Pedido 00228 e valor: R$ 2,00             0000002,00
20148300228Item do Pedido 00228 e valor: R$ 26,00            0000026,00
20148400228Item do Pedido 00228 e valor: R$ 19,00            0000019,00
20148500228Item do Pedido 00228 e valor: R$ 7,00             0000007,00
20148600228Item do Pedido 00228 e valor: R$ 1,00             0000001,00
20148700228Item do Pedido 00228 e valor: R$ 0,00             0000000,00
20148800228Item do Pedido 00228 e valor: R$ 0,00             0000000,00
20148900228Item do Pedido 00228 e valor: R$ 0,00             0000000,00
20149000228Item do Pedido 00228 e valor: R$ 0,00             0000000,00
100229Pedido de Compra em 24/11/2019 com 10 itens201911241855270000126,00E
20149100229Item do Pedido 00229 e valor: R$ 126,00           0000126,00
20149200229Item do Pedido 00229 e valor: R$ 0,00             0000000,00
20149300229Item do Pedido 00229 e valor: R$ 0,00             0000000,00
20149400229Item do Pedido 00229 e valor: R$ 0,00             0000000,00
20149500229Item do Pedido 00229 e valor: R$ 0,00             0000000,00
20149600229Item do Pedido 00229 e valor: R$ 0,00             0000000,00
20149700229Item do Pedido 00229 e valor: R$ 0,00             0000000,00
20149800229Item do Pedido 00229 e valor: R$ 0,00             0000000,00
20149900229Item do Pedido 00229 e valor: R$ 0,00             0000000,00
20150000229Item do Pedido 00229 e valor: R$ 0,00             0000000,00
20150100229Item do Pedido 00229 e valor: R$ 0,00             0000000,00
100230Pedido de Compra em 24/11/2019 com 10 itens201911241855270000073,00E
20150200230Item do Pedido 00230 e valor: R$ 47,00            0000047,00
20150300230Item do Pedido 00230 e valor: R$ 26,00            0000026,00
20150400230Item do Pedido 00230 e valor: R$ 0,00             0000000,00
20150500230Item do Pedido 00230 e valor: R$ 0,00             0000000,00
20150600230Item do Pedido 00230 e valor: R$ 0,00             0000000,00
20150700230Item do Pedido 00230 e valor: R$ 0,00             0000000,00
20150800230Item do Pedido 00230 e valor: R$ 0,00             0000000,00
20150900230Item do Pedido 00230 e valor: R$ 0,00             0000000,00
20151000230Item do Pedido 00230 e valor: R$ 0,00             0000000,00
20151100230Item do Pedido 00230 e valor: R$ 0,00             0000000,00
20151200230Item do Pedido 00230 e valor: R$ 0,00             0000000,00
100231Pedido de Compra em 24/11/2019 com 10 itens201911241855270000158,00E
20151300231Item do Pedido 00231 e valor: R$ 76,00            0000076,00
20151400231Item do Pedido 00231 e valor: R$ 12,00            0000012,00
20151500231Item do Pedido 00231 e valor: R$ 51,00            0000051,00
20151600231Item do Pedido 00231 e valor: R$ 10,00            0000010,00
20151700231Item do Pedido 00231 e valor: R$ 6,00             0000006,00
20151800231Item do Pedido 00231 e valor: R$ 3,00             0000003,00
20151900231Item do Pedido 00231 e valor: R$ 0,00             0000000,00
20152000231Item do Pedido 00231 e valor: R$ 0,00             0000000,00
20152100231Item do Pedido 00231 e valor: R$ 0,00             0000000,00
20152200231Item do Pedido 00231 e valor: R$ 0,00             0000000,00
20152300231Item do Pedido 00231 e valor: R$ 0,00             0000000,00
100232Pedido de Compra em 24/11/2019 com 10 itens201911241855270000041,00E
20152400232Item do Pedido 00232 e valor: R$ 11,00            0000011,00
20152500232Item do Pedido 00232 e valor: R$ 19,00            0000019,00
20152600232Item do Pedido 00232 e valor: R$ 2,00             0000002,00
20152700232Item do Pedido 00232 e valor: R$ 3,00             0000003,00
20152800232Item do Pedido 00232 e valor: R$ 6,00             0000006,00
20152900232Item do Pedido 00232 e valor: R$ 0,00             0000000,00
20153000232Item do Pedido 00232 e valor: R$ 0,00             0000000,00
20153100232Item do Pedido 00232 e valor: R$ 0,00             0000000,00
20153200232Item do Pedido 00232 e valor: R$ 0,00             0000000,00
20153300232Item do Pedido 00232 e valor: R$ 0,00             0000000,00
20153400232Item do Pedido 00232 e valor: R$ 0,00             0000000,00
100233Pedido de Compra em 24/11/2019 com 10 itens201911241855270000084,00E
20153500233Item do Pedido 00233 e valor: R$ 30,00            0000030,00
20153600233Item do Pedido 00233 e valor: R$ 35,00            0000035,00
20153700233Item do Pedido 00233 e valor: R$ 13,00            0000013,00
20153800233Item do Pedido 00233 e valor: R$ 5,00             0000005,00
20153900233Item do Pedido 00233 e valor: R$ 1,00             0000001,00
20154000233Item do Pedido 00233 e valor: R$ 0,00             0000000,00
20154100233Item do Pedido 00233 e valor: R$ 0,00             0000000,00
20154200233Item do Pedido 00233 e valor: R$ 0,00             0000000,00
20154300233Item do Pedido 00233 e valor: R$ 0,00             0000000,00
20154400233Item do Pedido 00233 e valor: R$ 0,00             0000000,00
20154500233Item do Pedido 00233 e valor: R$ 0,00             0000000,00
100234Pedido de Compra em 24/11/2019 com 10 itens201911241855270000035,00E
20154600234Item do Pedido 00234 e valor: R$ 19,00            0000019,00
20154700234Item do Pedido 00234 e valor: R$ 15,00            0000015,00
20154800234Item do Pedido 00234 e valor: R$ 1,00             0000001,00
20154900234Item do Pedido 00234 e valor: R$ 0,00             0000000,00
20155000234Item do Pedido 00234 e valor: R$ 0,00             0000000,00
20155100234Item do Pedido 00234 e valor: R$ 0,00             0000000,00
20155200234Item do Pedido 00234 e valor: R$ 0,00             0000000,00
20155300234Item do Pedido 00234 e valor: R$ 0,00             0000000,00
20155400234Item do Pedido 00234 e valor: R$ 0,00             0000000,00
20155500234Item do Pedido 00234 e valor: R$ 0,00             0000000,00
20155600234Item do Pedido 00234 e valor: R$ 0,00             0000000,00
100235Pedido de Compra em 24/11/2019 com 10 itens201911241855270000123,00E
20155700235Item do Pedido 00235 e valor: R$ 122,00           0000122,00
20155800235Item do Pedido 00235 e valor: R$ 1,00             0000001,00
20155900235Item do Pedido 00235 e valor: R$ 0,00             0000000,00
20156000235Item do Pedido 00235 e valor: R$ 0,00             0000000,00
20156100235Item do Pedido 00235 e valor: R$ 0,00             0000000,00
20156200235Item do Pedido 00235 e valor: R$ 0,00             0000000,00
20156300235Item do Pedido 00235 e valor: R$ 0,00             0000000,00
20156400235Item do Pedido 00235 e valor: R$ 0,00             0000000,00
20156500235Item do Pedido 00235 e valor: R$ 0,00             0000000,00
20156600235Item do Pedido 00235 e valor: R$ 0,00             0000000,00
20156700235Item do Pedido 00235 e valor: R$ 0,00             0000000,00
100236Pedido de Compra em 24/11/2019 com 10 itens201911241855270000154,00E
20156800236Item do Pedido 00236 e valor: R$ 25,00            0000025,00
20156900236Item do Pedido 00236 e valor: R$ 23,00            0000023,00
20157000236Item do Pedido 00236 e valor: R$ 72,00            0000072,00
20157100236Item do Pedido 00236 e valor: R$ 12,00            0000012,00
20157200236Item do Pedido 00236 e valor: R$ 14,00            0000014,00
20157300236Item do Pedido 00236 e valor: R$ 2,00             0000002,00
20157400236Item do Pedido 00236 e valor: R$ 6,00             0000006,00
20157500236Item do Pedido 00236 e valor: R$ 0,00             0000000,00
20157600236Item do Pedido 00236 e valor: R$ 0,00             0000000,00
20157700236Item do Pedido 00236 e valor: R$ 0,00             0000000,00
20157800236Item do Pedido 00236 e valor: R$ 0,00             0000000,00
100237Pedido de Compra em 24/11/2019 com 10 itens201911241855270000158,00E
20157900237Item do Pedido 00237 e valor: R$ 140,00           0000140,00
20158000237Item do Pedido 00237 e valor: R$ 2,00             0000002,00
20158100237Item do Pedido 00237 e valor: R$ 9,00             0000009,00
20158200237Item do Pedido 00237 e valor: R$ 4,00             0000004,00
20158300237Item do Pedido 00237 e valor: R$ 1,00             0000001,00
20158400237Item do Pedido 00237 e valor: R$ 1,00             0000001,00
20158500237Item do Pedido 00237 e valor: R$ 1,00             0000001,00
20158600237Item do Pedido 00237 e valor: R$ 0,00             0000000,00
20158700237Item do Pedido 00237 e valor: R$ 0,00             0000000,00
20158800237Item do Pedido 00237 e valor: R$ 0,00             0000000,00
20158900237Item do Pedido 00237 e valor: R$ 0,00             0000000,00
100238Pedido de Compra em 24/11/2019 com 10 itens201911241855270000071,00E
20159000238Item do Pedido 00238 e valor: R$ 62,00            0000062,00
20159100238Item do Pedido 00238 e valor: R$ 4,00             0000004,00
20159200238Item do Pedido 00238 e valor: R$ 1,00             0000001,00
20159300238Item do Pedido 00238 e valor: R$ 4,00             0000004,00
20159400238Item do Pedido 00238 e valor: R$ 0,00             0000000,00
20159500238Item do Pedido 00238 e valor: R$ 0,00             0000000,00
20159600238Item do Pedido 00238 e valor: R$ 0,00             0000000,00
20159700238Item do Pedido 00238 e valor: R$ 0,00             0000000,00
20159800238Item do Pedido 00238 e valor: R$ 0,00             0000000,00
20159900238Item do Pedido 00238 e valor: R$ 0,00             0000000,00
20160000238Item do Pedido 00238 e valor: R$ 0,00             0000000,00
100239Pedido de Compra em 24/11/2019 com 10 itens201911241855270000154,00E
20160100239Item do Pedido 00239 e valor: R$ 45,00            0000045,00
20160200239Item do Pedido 00239 e valor: R$ 90,00            0000090,00
20160300239Item do Pedido 00239 e valor: R$ 11,00            0000011,00
20160400239Item do Pedido 00239 e valor: R$ 7,00             0000007,00
20160500239Item do Pedido 00239 e valor: R$ 1,00             0000001,00
20160600239Item do Pedido 00239 e valor: R$ 0,00             0000000,00
20160700239Item do Pedido 00239 e valor: R$ 0,00             0000000,00
20160800239Item do Pedido 00239 e valor: R$ 0,00             0000000,00
20160900239Item do Pedido 00239 e valor: R$ 0,00             0000000,00
20161000239Item do Pedido 00239 e valor: R$ 0,00             0000000,00
20161100239Item do Pedido 00239 e valor: R$ 0,00             0000000,00
100240Pedido de Compra em 23/11/2019 com 11 itens201911231855270000156,00E
20161200240Item do Pedido 00240 e valor: R$ 97,00            0000097,00
20161300240Item do Pedido 00240 e valor: R$ 17,00            0000017,00
20161400240Item do Pedido 00240 e valor: R$ 37,00            0000037,00
20161500240Item do Pedido 00240 e valor: R$ 1,00             0000001,00
20161600240Item do Pedido 00240 e valor: R$ 4,00             0000004,00
